Date,Close/Last,COMP,NATS,MSCI
6/4/2021,8110.87,13814.49,1484.54,4097.6
6/3/2021,7908.54,13614.51,1452.79,4059.66
6/2/2021,8046.71,13756.33,1468.97,4077.56
6/1/2021,8025.76,13736.48,1465.89,4072.08
5/28/2021,8064.85,13748.74,1474.6,4074.95
5/27/2021,8019.88,13736.28,1464.4,4070.64
5/26/2021,8053.78,13738,1474.71,4066.42
5/25/2021,8033.21,13657.17,1462.11,4057.16
5/24/2021,8000.27,13661.17,1458.75,4065.43
5/21/2021,7850.01,13470.99,1435.76,4024.55
5/20/2021,7890.68,13535.74,1439.61,4028.38
5/19/2021,7690,13299.74,1407.23,3981.76
5/18/2021,7596.87,13303.64,1402.51,3992.5
5/17/2021,7644.71,13379.05,1400.77,4023.83
5/14/2021,7644.71,13379.05,1412.45,4035.52
5/13/2021,7503,13124.99,1373.48,3973.34
5/12/2021,7468.71,13031.68,1374.73,3928.67
5/11/2021,7718.93,13389.43,1409.31,4017.48
5/10/2021,7665.5,13401.86,1394.43,4048.11
5/7/2021,7939.98,13752.24,1427.73,4094.35
5/6/2021,7853.19,13632.84,1414.66,4063.11
5/5/2021,7859.23,13582.42,1423.78,4036.35
5/4/2021,7863.02,13633.5,1436.35,4036.95
5/3/2021,8022.73,13895.12,1470.34,4068.88
4/30/2021,8121.36,13962.68,1489.7,4061.26
4/29/2021,8286.6,14082.55,1505.31,4091.48
4/28/2021,8264.76,14051.03,1530.79,4068.14
4/27/2021,8321.07,14090.22,1535.9,4072.53
4/26/2021,8374.23,14138.78,1542.46,4074.16
4/23/2021,8259.33,14016.81,1523.28,4064.42
4/22/2021,8109.85,13818.41,1501.8,4018.79
4/21/2021,8213.29,13950.22,1503.27,4053.16
4/20/2021,8075.93,13786.27,1495.5,4015.9
4/19/2021,8164.64,13914.77,1509.11,4043.69
4/16/2021,8323.42,14052.34,1533.51,4067.34
4/15/2021,8377.7,14038.76,1540.75,4055.56
4/14/2021,8224.83,13857.84,1512.17,4008.54
4/13/2021,8328.01,13996.1,1529.58,4027.05
4/12/2021,8251.49,13850,1502.88,4009.3
4/9/2021,8304.74,13900.19,1498.56,4009.61
4/8/2021,8298.55,13829.31,1488.61,3980.1
4/7/2021,8173.75,13688.84,1459.66,3959.55
4/6/2021,8193.04,13698.38,1465.47,3955.16
4/5/2021,8245.2,13705.59,1459.35,3955.1
4/1/2021,8103.53,13480.11,1443.32,3902.41
3/31/2021,7866.84,13246.87,1408.63,3854.97
3/30/2021,7685.36,13045.39,1377.44,3835.96
3/29/2021,7724.81,13059.65,1382.53,3846.99
3/26/2021,7810.72,13138.72,1397.61,3853.61
3/25/2021,7547.22,12977.68,1369.19,3791.89
3/24/2021,7594.74,12961.89,1373.87,3773.73
3/23/2021,7734.92,13227.7,1411.72,3800.77
3/22/2021,7838.44,13377.54,1410.37,3830.92
3/19/2021,7681.99,13215.24,1388.57,3802.32
3/18/2021,7604.51,13116.17,1374.1,3801.62
3/17/2021,7906.74,13525.2,1425.68,3865.51
3/16/2021,7852.58,13471.57,1430.32,3855
3/15/2021,7803.38,13459.71,1437.57,3862.56
3/12/2021,7661,13319.86,1423.78,3834.85
3/11/2021,7780.59,13398.67,1443.14,3832.8
3/10/2021,7493.44,13068.83,1400.56,3786.18
3/9/2021,7592.37,13073.82,1408.38,3765.18
3/8/2021,7197.59,12609.16,1347.71,3703.76
3/5/2021,7541.21,12920.15,1387.42,3730.84
3/4/2021,7395.34,12723.47,1375.45,3662.95
3/3/2021,7660.28,12997.75,1415.1,3718.11
3/2/2021,7949.29,13358.79,1475.39,3776.61
3/1/2021,8155.87,13588.83,1506.22,3810.85
2/26/2021,7888.03,13192.35,1459.27,3719.93
2/25/2021,7795.56,13119.43,1459.87,3733.34
2/24/2021,8207.68,13597.97,1519.64,3831.02
2/23/2021,8059.79,13465.2,1503.26,3792.71
2/22/2021,8119.67,13533.05,1523.34,3790.48
2/19/2021,8408.88,13874.46,1571.41,3829.47
2/18/2021,8274.12,13865.36,1568.67,3833.23
2/17/2021,8349.34,13965.49,1573.24,3850.14
2/16/2021,8480.86,14047.5,1591.8,3854.92
2/12/2021,8470.05,14095.47,1594.94,3859.61
2/11/2021,8384.1,14025.77,1583.13,3840.93
2/10/2021,8201.92,13972.53,1570.66,3832.19
2/9/2021,8155.95,14007.7,1575.11,3832.33
2/8/2021,8121.09,13987.64,1561.14,3834.82
2/5/2021,7988.46,13856.3,1555.96,3806.81
2/4/2021,7970.37,13777.74,1537.6,3789.21
2/3/2021,7854.96,13610.54,1509.88,3747.06
2/2/2021,7994.23,13612.78,1515.51,3745.18
2/1/2021,7832.36,13403.39,1476.57,3690.47
1/29/2021,7576.53,13070.69,1442.15,3630.3
1/28/2021,7702.57,13337.16,1466.08,3700.03
1/27/2021,7548.91,13270.6,1437.99,3660.13
1/26/2021,7876.32,13626.06,1469.63,3759.35
1/25/2021,7953.04,13635.99,1480.41,3770.05
1/22/2021,7945,13543.06,1484.68,3757.58
1/21/2021,8007.08,13530.91,1481.21,3767.92
1/20/2021,7974.98,13457.25,1488.45,3767.19
1/19/2021,7918.95,13197.18,1461.74,3715.03
1/15/2021,7729.12,12998.5,1442.58,3684.8
1/14/2021,7831.38,13112.64,1450.43,3711.52
1/13/2021,7774.02,13128.95,1456.05,3725.76
1/12/2021,7776.04,13072.43,1458.98,3718.4
1/11/2021,7723.38,13036.43,1455.41,3714.15
1/8/2021,7751.66,13201.98,1469.24,3737.78
1/7/2021,7670.76,13067.48,1447.01,3716.8
1/6/2021,7427.18,12740.79,1407.95,3658.3
1/5/2021,7544.92,12818.96,1442.55,3640.58
1/4/2021,7463.18,12698.45,1437.18,3614.13
12/31/2020,7541.05,12888.28,1464.72,3667.92
12/30/2020,7529.84,12870,1464.12,3647.69
12/29/2020,7458.65,12850.22,1463.11,3641.86
12/28/2020,7495.5,12899.42,1474.12,3651.1
12/24/2020,7523.3,12804.73,1496.57,3626.73
12/23/2020,7488.14,12771.11,1495.36,3615.2
12/22/2020,7563.77,12807.92,1516.6,3615.87
12/21/2020,7515.09,12742.52,1486.28,3618.29
12/18/2020,7526.36,12755.64,1484.41,3630.91
12/17/2020,7517.86,12764.75,1465.62,3639.05
12/16/2020,7468.64,12658.19,1441.26,3613.13
